Backbone,Compression,Label_Set,Accuracy,F1_Score,Training_Time_s,Training_Time_seconds
efficientnet_b0,ipca,19 Classes,0.6822827939,0.7047401947,33.54946733,
efficientnet_b0,ipca,11 Classes,0.7052810903,0.7064733375,37.75401163,
efficientnet_b0,svd,19 Classes,0.6592844974,0.6842105603,30.94995904,
efficientnet_b0,svd,11 Classes,0.6797274276,0.6848786604,36.75853491,
resnet50,ipca,19 Classes,0.6622657581,0.6813201699,34.52873707,
resnet50,ipca,11 Classes,0.6827086882,0.6785250518,40.44563055,
resnet50,svd,19 Classes,0.5962521295,0.6178737159,32.76739168,
resnet50,svd,11 Classes,0.6107325383,0.6188199415,39.85910535,
yolo,ipca,19 Classes,0.8654173764906303,0.8634461696428628,25.51297378540039,
yolo,ipca,11 Classes,0.8752129471890971,0.8820282679001143,26.752036809921265,
yolo,svd,19 Classes,0.8603066439522998,0.8537813281234562,22.555118799209595,
yolo,svd,11 Classes,0.8654173764906303,0.8743106994684335,25.15282511711121,
resnet50_finetuned,ipca,11 Classes,0.850511073253833,0.8433839486308446,,0.6595866500001648
resnet50_finetuned,ipca,19 Classes,0.8045144804088586,0.795937128581296,,0.6895335699998668
resnet50_finetuned,svd,11 Classes,0.850511073253833,0.8411136885871102,,0.577661161999913
resnet50_finetuned,svd,19 Classes,0.8040885860306644,0.7933567508288991,,0.591651580999951
efficientnet_b0_finetuned,ipca,11 Classes,0.7687393526405452,0.7598157088713303,,3.353287236000142
efficientnet_b0_finetuned,ipca,19 Classes,0.7001703577512777,0.6719477832078486,,3.7158781419998377
efficientnet_b0_finetuned,svd,11 Classes,0.7666098807495741,0.7543534509983331,,3.363713899000004
efficientnet_b0_finetuned,svd,19 Classes,0.6942078364565588,0.6659753122101407,,3.609358922999945
